species;site;pH;Tank;chla;chlc;chltot;chltotsymbiont;symbiont
Acropora tenuis;Bourake;Future;A;4.343991131;10.11540421;14.45939534;12.46264311;1160219.001
Montipora digitata;Reference;Future;B;6.71395363;15.62553659;22.33949022;17.24221232;1295627.835
Montipora digitata;Reference;Future;A;14.58072913;33.9534127;48.53414183;15.89304442;3053797.658
Montipora digitata;Reference;Future;C;5.885063459;13.10960903;18.99467249;12.66520988;1499751.893
Montipora digitata;Reference;Future;A;28.52046188;66.77149795;45;19.69974726;4837217.379
Montipora digitata;Reference;Future;C;6.435110488;15.0738286;21.50893909;17.93511747;1199263.909
Montipora digitata;Reference;Future;B;9.349187132;21.90844355;31.25763068;16.68460901;1873441.005
Montipora digitata;Reference;Future;C;8.6699799;19.94128951;28.61126941;10.24979624;2791398.847
Montipora digitata;Bourake;Future;B;10.1327264;23.58591609;33.71864249;19.2116;1755118.912
Montipora digitata;Bourake;Future;A;8.678129837;20.18621732;28.86434716;21.13391074;1365783.527
Montipora digitata;Bourake;Future;B;5.167618038;12.00313041;17.17074845;13.2715528;1293801.013
Montipora digitata;Bourake;Future;C;6.236069575;14.50991105;20.74598063;13.98257873;1483702.042
Montipora digitata;Bourake;Future;A;9.535740283;22.18998007;31.72572035;18.48053598;1716709.969
Montipora digitata;Bourake;Future;C;15.25660145;35.5197197;50.77632115;21.57851982;2353095.651
Montipora digitata;Bourake;Future;C;13.94941289;32.5289652;46.47837809;24.34711266;1908989.322
Porites sp.;Reference;Future;A;3.772366334;8.760933086;12.53329942;13.785987;909133.2687
Porites sp.;Reference;Future;A;2.195159879;5.09848119;7.293641069;14.51622086;502447.6508
Porites sp.;Reference;Future;B;2.123238002;4.843623081;6.966861082;11.83216438;588806.9889
Porites sp.;Reference;Future;C;3.522760149;7.60204894;11.12480909;12.73946709;873255.4515
Porites sp.;Reference;Future;C;7.180882791;16.98681023;24.16769302;21.73412522;1111969.898
Porites sp.;Reference;Future;C;3.094396234;7.088288742;10.18268498;17.27616842;589406.4429
Porites sp.;Reference;Future;C;2.935018242;6.939748836;9.874767077;15.65574041;630744.1754
Porites sp.;Bourake;Future;C;3.505270637;8.126767829;11.63203847;15.37059807;756772.0145
Porites sp.;Bourake;Future;C;5.712062073;13.25151351;18.96357558;20.70387664;915943.2272
Porites sp.;Bourake;Future;A;3.263805994;7.572778103;10.8365841;14.20520965;762859.8498
Porites sp.;Bourake;Future;B;2.434311908;5.635654808;8.069966715;15.10923989;534108.0539
Porites sp.;Bourake;Future;B;2.682572401;6.239066074;8.921638475;12.7307837;700792.5581
Porites sp.;Bourake;Future;A;4.312472964;10.03080087;14.34327383;14.05047849;1020838.817
Porites sp.;Bourake;Future;B;4.765486184;11.06744712;15.8329333;16.20433315;977080.2142
Acropora tenuis;Reference;Control;A;6.537916371;15.25531033;21.7932267;7.749594491;2812176.395
